epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.706279,1.21406,5.47519,1.33311,0,0,0,0,0.70654,5.15043,0.89368,0,0,0
2,1.1886,1.33245,5.26721,1.36739,0,0,0,0,0.71041,5.15051,0.89444,1.03615e-06,1.03615e-06,1.03615e-06
3,1.67239,1.26619,5.36812,1.39007,0,0,0,0,0.7123,5.1506,0.89483,1.8446e-06,1.8446e-06,1.8446e-06
4,2.18088,1.30855,5.51437,1.36321,0,0,0,0,0.71057,5.15164,0.89488,2.42535e-06,2.42535e-06,2.42535e-06
5,2.67682,1.30013,5.51612,1.31898,0,0,0,0,0.70909,5.15264,0.89466,2.7784e-06,2.7784e-06,2.7784e-06
6,3.16388,1.25413,5.54887,1.3468,0,0,0,0,0.71051,5.15287,0.89328,2.90375e-06,2.90375e-06,2.90375e-06
7,3.65113,1.26937,5.43437,1.37853,0,0,0,0,0.71319,5.15277,0.89266,2.8014e-06,2.8014e-06,2.8014e-06
8,4.14012,1.25021,5.37491,1.30689,0,0,0,0,0.71378,5.15349,0.8923,2.47135e-06,2.47135e-06,2.47135e-06
9,4.64395,1.28858,5.53676,1.18063,0,0,0,0,0.71245,5.15487,0.89248,1.9136e-06,1.9136e-06,1.9136e-06
10,5.12184,1.24728,5.29593,1.28774,0,0,0,0,0.71739,5.15518,0.89372,1.12815e-06,1.12815e-06,1.12815e-06
