epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.894,0.42253,3.46608,0.84175,0.02576,0.39713,0.04567,0.04338,0.35213,3.32361,0.81836,1.45988e-05,1.45988e-05,1.45988e-05
2,1336.64,0.42054,3.39932,0.84108,0.04343,0.34193,0.06577,0.06259,0.34936,3.21082,0.81795,2.89757e-05,2.89757e-05,2.89757e-05
3,1979.76,0.41534,3.29909,0.83943,0.08609,0.24772,0.09781,0.09321,0.34097,3.07476,0.81476,4.30622e-05,4.30622e-05,4.30622e-05
4,2611.29,0.41261,3.17717,0.83766,0.1585,0.25336,0.13776,0.13147,0.33642,2.90749,0.81261,4.26932e-05,4.26932e-05,4.26932e-05
5,3221.35,0.4124,3.06323,0.83671,0.18889,0.31566,0.18337,0.17532,0.33004,2.75418,0.81117,4.22576e-05,4.22576e-05,4.22576e-05
6,3813.03,0.40443,2.93381,0.8352,0.21975,0.3635,0.22419,0.21406,0.33596,2.62244,0.81367,4.1822e-05,4.1822e-05,4.1822e-05
7,4404.08,0.40147,2.82056,0.83432,0.26524,0.45533,0.27923,0.26662,0.33052,2.44858,0.81171,4.13864e-05,4.13864e-05,4.13864e-05
8,4983.2,0.39988,2.69355,0.83494,0.29461,0.5105,0.3304,0.31721,0.31724,2.30359,0.80759,4.09508e-05,4.09508e-05,4.09508e-05
9,5563.63,0.39865,2.58175,0.83233,0.32753,0.57952,0.37319,0.35936,0.31177,2.14521,0.8063,4.05152e-05,4.05152e-05,4.05152e-05
10,6139.28,0.39475,2.46702,0.83221,0.35859,0.62733,0.40353,0.3897,0.30685,2.0382,0.80536,4.00796e-05,4.00796e-05,4.00796e-05
11,6708.32,0.38745,2.3569,0.83099,0.38144,0.6709,0.43222,0.41774,0.30196,1.93226,0.80379,3.9644e-05,3.9644e-05,3.9644e-05
12,7278.59,0.3871,2.2701,0.83039,0.40018,0.71939,0.45942,0.44372,0.30394,1.80989,0.80372,3.92084e-05,3.92084e-05,3.92084e-05
13,7847.31,0.38104,2.16733,0.82902,0.40982,0.74073,0.47034,0.45569,0.29402,1.74398,0.80114,3.87728e-05,3.87728e-05,3.87728e-05
14,8413.81,0.37834,2.09607,0.82654,0.42124,0.75903,0.485,0.46956,0.29434,1.66992,0.80063,3.83372e-05,3.83372e-05,3.83372e-05
15,8977.26,0.37347,2.02165,0.82726,0.43846,0.80149,0.50008,0.48506,0.28919,1.5928,0.79838,3.79016e-05,3.79016e-05,3.79016e-05
16,9539.82,0.36945,1.95356,0.82545,0.44514,0.80624,0.50607,0.49179,0.28541,1.53944,0.79714,3.7466e-05,3.7466e-05,3.7466e-05
17,10091.4,0.36608,1.89717,0.82383,0.44713,0.82437,0.51285,0.49884,0.283,1.48416,0.79621,3.70304e-05,3.70304e-05,3.70304e-05
18,10642.7,0.3643,1.85714,0.82265,0.45648,0.84899,0.51934,0.50567,0.27727,1.4386,0.7951,3.65948e-05,3.65948e-05,3.65948e-05
19,11193.3,0.3588,1.79568,0.82272,0.45886,0.84939,0.52152,0.50886,0.27363,1.4081,0.79408,3.61592e-05,3.61592e-05,3.61592e-05
