epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2773.68,0.12866,0.18596,0.7748,0.89698,0.89509,0.90085,0.90006,0.07921,0.06962,0.75663,0.0666867,1.6665e-05,1.6665e-05
2,5465.72,0.11593,0.1598,0.77233,0.89919,0.89877,0.90119,0.90051,0.07579,0.06068,0.75672,0.0333697,3.30017e-05,3.30017e-05
3,8141.88,0.11131,0.14936,0.77131,0.90008,0.89844,0.90157,0.90096,0.0744,0.05776,0.75633,5.23417e-05,4.90084e-05,4.90084e-05
4,10820.9,0.10959,0.14458,0.77095,0.89957,0.89897,0.90141,0.90084,0.07308,0.05709,0.75615,4.8515e-05,4.8515e-05,4.8515e-05
5,13496.5,0.10866,0.14179,0.77064,0.90009,0.8995,0.90142,0.90092,0.07315,0.05606,0.75622,4.802e-05,4.802e-05,4.802e-05
6,16172.8,0.10836,0.14139,0.77093,0.90041,0.89997,0.90179,0.90126,0.07238,0.05471,0.75604,4.7525e-05,4.7525e-05,4.7525e-05
7,18861.6,0.10732,0.13924,0.77042,0.90042,0.90089,0.90177,0.90128,0.07205,0.05449,0.75587,4.703e-05,4.703e-05,4.703e-05
8,21546,0.10706,0.1377,0.77008,0.90057,0.90016,0.90145,0.90095,0.07228,0.05411,0.75594,4.6535e-05,4.6535e-05,4.6535e-05
9,24222.9,0.10686,0.13733,0.77009,0.90138,0.90098,0.90172,0.90122,0.07209,0.0538,0.75596,4.604e-05,4.604e-05,4.604e-05
10,26896.7,0.10608,0.13513,0.77018,0.90164,0.90002,0.90156,0.90105,0.07178,0.05344,0.75595,4.5545e-05,4.5545e-05,4.5545e-05
11,29570.9,0.10633,0.13492,0.77002,0.90152,0.90066,0.90178,0.90126,0.07165,0.05315,0.75586,4.505e-05,4.505e-05,4.505e-05
12,32245.9,0.1058,0.13368,0.7698,0.90155,0.90107,0.90184,0.90133,0.07122,0.05232,0.75583,4.4555e-05,4.4555e-05,4.4555e-05
13,34920.6,0.10539,0.13287,0.76999,0.90143,0.90081,0.9018,0.90133,0.07141,0.05201,0.75584,4.406e-05,4.406e-05,4.406e-05
14,37589.8,0.10477,0.13204,0.7697,0.90193,0.90061,0.90185,0.90141,0.07148,0.05201,0.75586,4.3565e-05,4.3565e-05,4.3565e-05
15,40260.6,0.10472,0.13142,0.7694,0.90227,0.90069,0.90185,0.90137,0.0711,0.05154,0.75579,4.307e-05,4.307e-05,4.307e-05
16,42932.1,0.10392,0.13066,0.7696,0.90187,0.90109,0.90184,0.90137,0.07084,0.05104,0.75574,4.2575e-05,4.2575e-05,4.2575e-05
17,45599.4,inf,0.12926,0.76943,0.90202,0.90106,0.90187,0.90141,0.07058,0.05078,0.75574,4.208e-05,4.208e-05,4.208e-05
18,48269,0.10375,0.12887,0.7695,0.90233,0.9009,0.90186,0.90142,0.07042,0.05054,0.75574,4.1585e-05,4.1585e-05,4.1585e-05
19,50935,0.10347,0.12819,0.76937,0.90241,0.90106,0.90184,0.90141,0.07043,0.05042,0.75575,4.109e-05,4.109e-05,4.109e-05
20,53604.6,0.1029,0.12681,0.76943,0.90231,0.90129,0.90186,0.90144,0.07033,0.05028,0.75574,4.0595e-05,4.0595e-05,4.0595e-05
21,56276,0.1026,0.12624,0.76941,0.90237,0.90136,0.90186,0.90142,0.07024,0.05011,0.75571,4.01e-05,4.01e-05,4.01e-05
22,58945.6,0.10219,0.12505,0.76922,0.90212,0.9015,0.90189,0.90146,0.07005,0.04991,0.75568,3.9605e-05,3.9605e-05,3.9605e-05
23,61627.1,0.10244,0.12498,0.76888,0.9022,0.90148,0.90189,0.90147,0.06991,0.0497,0.75566,3.911e-05,3.911e-05,3.911e-05
24,64309.7,0.10155,0.12403,0.76928,0.90222,0.90155,0.9019,0.90149,0.06985,0.04961,0.75566,3.8615e-05,3.8615e-05,3.8615e-05
25,66986.7,0.10188,0.12325,0.76897,0.90214,0.90161,0.9019,0.90148,0.06966,0.04947,0.75564,3.812e-05,3.812e-05,3.812e-05
26,69666.1,0.10141,0.12328,0.76903,0.90214,0.90161,0.9019,0.9015,0.06948,0.04929,0.75562,3.7625e-05,3.7625e-05,3.7625e-05
27,72344.7,0.1012,0.12234,0.76873,0.9022,0.90165,0.90192,0.90152,0.06939,0.04922,0.7556,3.713e-05,3.713e-05,3.713e-05
28,75020.1,0.101,0.12208,0.76905,0.90232,0.90162,0.90192,0.90151,0.06924,0.04912,0.75559,3.6635e-05,3.6635e-05,3.6635e-05
29,77705.4,0.10095,0.1219,0.76881,0.90237,0.90166,0.90194,0.90153,0.06907,0.04895,0.75557,3.614e-05,3.614e-05,3.614e-05
30,80382.6,0.10032,0.12013,0.76876,0.90239,0.90208,0.90195,0.90155,0.06901,0.04892,0.75555,3.5645e-05,3.5645e-05,3.5645e-05
31,83066.6,0.10017,0.11993,0.76886,0.90238,0.90213,0.90195,0.90155,0.06898,0.04885,0.75554,3.515e-05,3.515e-05,3.515e-05
32,85749.5,0.10031,0.11919,0.76866,0.90241,0.90216,0.90197,0.90157,0.06906,0.04887,0.75553,3.4655e-05,3.4655e-05,3.4655e-05
33,88421.3,0.10018,0.1197,0.76872,0.90242,0.90219,0.90196,0.90156,0.06895,0.04878,0.75552,3.416e-05,3.416e-05,3.416e-05
34,91173.1,0.1002,0.11905,0.76851,0.90241,0.90218,0.90195,0.90155,0.06889,0.04871,0.7555,3.3665e-05,3.3665e-05,3.3665e-05
35,93855,0.09991,0.11884,0.76849,0.90246,0.90215,0.90194,0.90156,0.06889,0.04875,0.75549,3.317e-05,3.317e-05,3.317e-05
36,96544.1,0.09966,0.1173,0.76864,0.90265,0.90205,0.90195,0.90156,0.06882,0.04869,0.75547,3.2675e-05,3.2675e-05,3.2675e-05
37,99233.3,0.0998,0.11737,0.76864,0.90261,0.90207,0.90195,0.90157,0.06883,0.04862,0.75547,3.218e-05,3.218e-05,3.218e-05
