epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6790.77,0.17738,0.74235,0.79052,0.95537,0.9421,0.96096,0.95923,0.08172,0.09959,0.75947,0.0802009,0.000199991,0.000199991
2,13135.2,0.1387,0.28851,0.77845,0.9657,0.96185,0.96723,0.96627,0.07128,0.07302,0.75734,0.0603996,0.000398671,0.000398671
3,19449.4,0.12631,0.2315,0.77542,0.96829,0.96154,0.96788,0.96711,0.07171,0.07073,0.75757,0.0405969,0.000596031,0.000596031
4,25753.6,0.12011,0.20361,0.77409,0.92117,0.88958,0.91555,0.91502,0.08153,0.18919,0.75894,0.020793,0.000792071,0.000792071
5,32598.2,0.11388,0.18053,0.7727,0,0.00047,0,0,0.10428,inf,0.76432,0.000987705,0.000986791,0.000986791
6,39534.7,0.11038,0.1664,0.77207,0,0,0,0,1.25599,inf,1.01697,0.0009835,0.0009835,0.0009835
7,46853.7,0.10609,0.15368,0.7712,0,0,0,0,2.66289,inf,1.47856,0.0009802,0.0009802,0.0009802
8,53825.3,0.10361,0.14515,0.77043,0,0,0,0,2.9029,inf,1.6446,0.0009769,0.0009769,0.0009769
9,61950.2,0.10074,0.13909,0.76998,0,0,0,0,2.91387,inf,1.67361,0.0009736,0.0009736,0.0009736
10,68643.7,0.09834,0.13205,0.76961,0,0,0,0,2.89584,inf,1.6285,0.0009703,0.0009703,0.0009703
11,75512.1,0.09822,0.12925,0.76952,0,0,0,0,2.9685,inf,1.58341,0.000967,0.000967,0.000967
12,82075.5,0.09578,0.12387,0.76918,0,0,0,0,2.9764,inf,1.51655,0.0009637,0.0009637,0.0009637
13,88686.8,0.09448,0.12112,0.76867,0,0,0,0,2.78086,inf,1.41877,0.0009604,0.0009604,0.0009604
14,95767.3,0.0938,0.11727,0.76855,0,0,0,0,3.00295,inf,1.48671,0.0009571,0.0009571,0.0009571
15,102751,0.0924,0.11447,0.76848,0,0,0,0,2.92949,inf,1.4093,0.0009538,0.0009538,0.0009538
16,110023,0.093,0.11383,0.76846,0,0,0,0,0,inf,0,0.0009505,0.0009505,0.0009505
17,117330,0.09209,0.1112,0.7682,0,0,0,0,0,inf,0,0.0009472,0.0009472,0.0009472
18,123899,0.09139,0.11,0.76813,0,0,0,0,0.01794,28015.6,0.08154,0.0009439,0.0009439,0.0009439
19,130246,0.09086,0.10921,0.76807,0.03683,0.00131,0.01907,0.01906,0.12499,7.49942,0.76224,0.0009406,0.0009406,0.0009406
20,137704,0.09043,0.1066,0.76775,0.34083,0.06845,0.20468,0.20462,0.1086,11.5218,0.75638,0.0009373,0.0009373,0.0009373
21,143945,0.089,0.10518,0.76763,0.58188,0.28411,0.43343,0.43332,0.09917,5.39319,0.75328,0.000934,0.000934,0.000934
22,150166,0.08857,0.10403,0.76765,0.78751,0.4981,0.64496,0.64473,0.09182,2.99607,0.75406,0.0009307,0.0009307,0.0009307
23,156369,0.08826,0.10186,0.76752,0.86329,0.67622,0.77487,0.77462,0.08704,1.23826,0.75544,0.0009274,0.0009274,0.0009274
24,163153,0.08905,0.10155,0.76743,0.87401,0.80148,0.84737,0.84714,0.08269,0.74428,0.75614,0.0009241,0.0009241,0.0009241
25,169424,0.08893,0.10218,0.76777,0.87706,0.86766,0.88506,0.88487,0.07785,0.40397,0.75578,0.0009208,0.0009208,0.0009208
26,176209,0.08793,0.09919,0.76723,0.87648,0.89248,0.89938,0.89922,0.0738,0.25981,0.75565,0.0009175,0.0009175,0.0009175
27,183095,0.08715,0.09835,0.76703,0.9072,0.88839,0.90504,0.90491,0.07081,0.225,0.75546,0.0009142,0.0009142,0.0009142
28,189433,0.08714,0.09763,0.76706,0.90557,0.90209,0.9039,0.90378,0.06834,3.39847,0.75528,0.0009109,0.0009109,0.0009109
29,195784,0.08645,0.09621,0.76696,0.00419,0.00036,0.00227,0.00227,0.06622,inf,0.75513,0.0009076,0.0009076,0.0009076
